=========== Grouping Data =============
---- Parameters: 
epsilon = 10.0
delta   = 3.5
m       = 3
---- Groups: 
"Group {130,176,194,290,235,97} on [120.52,132.29]"
"Group {97,152,105,70,166,292} on [141.50,149.00]"
"Group {239,202,210,275,170,184} on [70.16,74.10]"
"Group {291,214,23,175,42,277} on [48.52,52.08]"
"Group {42,277,90,109,249,175} on [67.38,72.16]"
"Group {277,90,109,238,110,289} on [78.33,82.39]"
"Group {277,90,109,110,289,175} on [84.53,89.06]"
"Group {199,217,144,20,66,195} on [139.22,149.00]"
"Group {75,91,125,32,113,257} on [103.88,115.22]"
"Group {202,210,275,90,109,175} on [95.14,109.35]"
"Group {75,125,32,113,257,215} on [110.26,121.57]"
"Group {214,124,23,100,209,39} on [66.56,72.44]"
"Group {291,138,2,61,191,179} on [108.16,149.00]"
"Group {23,120,187,127,135,276} on [122.61,132.96]"
"Group {23,187,127,135,276,289} on [123.02,142.21]"
"Group {182,204,119,122,33,222} on [101.92,124.37]"
"Group {189,71,121,282,287,265} on [137.17,145.58]"
"Group {57,146,8,60,180,211} on [82.73,147.76]"
"Group {207,30,86,157,203,234} on [44.24,127.82]"
"Group {73,300,167,3,22,293} on [97.48,105.18]"
"Group {5,47,53,40,85,95} on [62.20,65.96]"
"Group {85,95,48,107,42,6} on [106.08,109.97]"
"Group {48,107,24,272,160,201} on [135.06,139.32]"
"Group {267,100,209,202,210,275} on [133.16,149.00]"
"Group {129,54,170,184,15,143} on [98.55,104.50]"
"Group {129,170,184,15,143,171} on [102.51,107.90]"
"Group {129,170,184,15,171,251} on [104.07,116.48]"
"Group {67,77,98,151,281} on [0.00,4.26]"
"Group {113,238,257,259,272} on [0.00,19.03]"
"Group {60,119,122,189,264} on [0.00,4.01]"
"Group {47,93,105,214,253} on [0.00,5.29]"
"Group {157,186,203,223,234} on [0.00,8.45]"
"Group {33,157,203,234,11} on [7.23,13.50]"
"Group {70,181,142,154,206} on [1.09,8.31]"
"Group {181,142,154,206,289} on [2.71,12.41]"
"Group {20,96,166,170,184} on [0.00,7.48]"
"Group {15,20,96,170,184} on [0.00,8.46]"
"Group {6,155,168,270,285} on [0.00,15.44]"
"Group {108,6,155,270,196} on [4.06,15.65]"
"Group {55,89,245,271,224} on [9.76,18.47]"
"Group {22,180,211,213,293} on [0.00,22.40]"
"Group {26,34,218,261,278} on [3.16,7.15]"
"Group {101,281,67,161,262} on [19.43,24.52]"
"Group {16,88,62,177,103} on [12.89,16.48]"
